Restaurant_Location,date_time,number_of_orders,percentage_of_delivery_orders
Bryant Park,01-01-2018,373,0
Bryant Park,02-01-2018,789,0
Bryant Park,03-01-2018,818,0
Bryant Park,04-01-2018,782,0
Bryant Park,05-01-2018,719,0
Bryant Park,08-01-2018,809,0
Bryant Park,09-01-2018,857,0
Bryant Park,10-01-2018,907,0
Bryant Park,11-01-2018,911,0
Bryant Park,12-01-2018,892,0
Bryant Park,15-01-2018,463,0
Bryant Park,16-01-2018,872,0
Bryant Park,17-01-2018,859,0
Bryant Park,18-01-2018,836,0
Bryant Park,19-01-2018,802,0
Bryant Park,22-01-2018,898,0
Bryant Park,23-01-2018,927,0
Bryant Park,24-01-2018,852,0
Bryant Park,25-01-2018,854,0
Bryant Park,26-01-2018,823,0
Bryant Park,29-01-2018,863,0
Bryant Park,30-01-2018,829,0
Bryant Park,31-01-2018,872,0
Bryant Park,01-02-2018,847,0
Bryant Park,02-02-2018,796,0
Bryant Park,05-02-2018,899,0
Bryant Park,06-02-2018,910,0
Bryant Park,07-02-2018,835,0
Bryant Park,08-02-2018,835,0
Bryant Park,09-02-2018,895,0
Bryant Park,12-02-2018,898,0
Bryant Park,13-02-2018,848,0
Bryant Park,14-02-2018,893,0
Bryant Park,15-02-2018,900,0
Bryant Park,16-02-2018,886,0
Bryant Park,19-02-2018,521,0
Bryant Park,20-02-2018,924,0
Bryant Park,21-02-2018,878,0
Bryant Park,22-02-2018,916,0
Bryant Park,23-02-2018,861,0
Bryant Park,26-02-2018,938,0
Bryant Park,27-02-2018,902,0
Bryant Park,28-02-2018,907,0
Bryant Park,01-03-2018,943,0
Bryant Park,02-03-2018,813,0
Bryant Park,05-03-2018,833,0
Bryant Park,06-03-2018,882,0
Bryant Park,07-03-2018,865,0
Bryant Park,08-03-2018,872,0
Bryant Park,09-03-2018,903,0
Bryant Park,12-03-2018,853,0
Bryant Park,13-03-2018,861,0
Bryant Park,14-03-2018,915,0
Bryant Park,15-03-2018,854,0
Bryant Park,16-03-2018,863,0
Bryant Park,19-03-2018,876,0
Bryant Park,20-03-2018,856,0
Bryant Park,21-03-2018,847,0
Bryant Park,22-03-2018,876,0
Bryant Park,23-03-2018,920,0
Bryant Park,26-03-2018,919,0
Bryant Park,27-03-2018,896,0
Bryant Park,28-03-2018,921,0
Bryant Park,29-03-2018,921,0
Bryant Park,30-03-2018,879,0
Bryant Park,02-04-2018,887,0
Bryant Park,03-04-2018,829,0
Bryant Park,04-04-2018,849,0
Bryant Park,05-04-2018,891,0
Bryant Park,06-04-2018,846,0
Bryant Park,09-04-2018,883,0
Bryant Park,10-04-2018,945,0
Bryant Park,11-04-2018,918,0
Bryant Park,12-04-2018,876,0
Bryant Park,13-04-2018,825,0
Bryant Park,16-04-2018,829,0
Bryant Park,17-04-2018,873,0
Bryant Park,18-04-2018,912,0
Bryant Park,19-04-2018,873,0
Bryant Park,20-04-2018,881,0
Bryant Park,23-04-2018,842,0
Bryant Park,24-04-2018,907,0
Bryant Park,25-04-2018,916,0
Bryant Park,26-04-2018,904,0
Bryant Park,27-04-2018,904,0
Bryant Park,30-04-2018,884,0
Bryant Park,01-05-2018,889,0.089988751
Bryant Park,02-05-2018,811,0.101109741
Bryant Park,03-05-2018,790,0.101265823
Bryant Park,04-05-2018,874,0.127002288
Bryant Park,07-05-2018,911,0.06586169
Bryant Park,08-05-2018,921,0.081433225
Bryant Park,09-05-2018,926,0.091792657
Bryant Park,10-05-2018,941,0.098831031
Bryant Park,11-05-2018,933,0.078242229
Bryant Park,14-05-2018,905,0.093922652
Bryant Park,15-05-2018,918,0.10130719
Bryant Park,16-05-2018,945,0.099470899
Bryant Park,17-05-2018,973,0.087358684
Bryant Park,18-05-2018,922,0.095444685
Bryant Park,21-05-2018,911,0.10428101
Bryant Park,22-05-2018,933,0.098606645
Bryant Park,23-05-2018,870,0.096551724
Bryant Park,24-05-2018,840,0.111904762
Bryant Park,25-05-2018,798,0.098997494
Bryant Park,28-05-2018,493,0.07505071
Bryant Park,29-05-2018,837,0.09557945
Bryant Park,30-05-2018,956,0.10460251
Bryant Park,31-05-2018,937,0.090715048
Bryant Park,01-06-2018,961,0.108220604
Bryant Park,04-06-2018,951,0.097791798
Bryant Park,05-06-2018,932,0.097639485
Bryant Park,06-06-2018,869,0.092059839
Bryant Park,07-06-2018,891,0.09315376
Bryant Park,08-06-2018,862,0.099767981
Bryant Park,11-06-2018,924,0.095238095
Bryant Park,12-06-2018,882,0.091836735
Bryant Park,13-06-2018,882,0.090702948
Bryant Park,14-06-2018,864,0.101851852
Bryant Park,15-06-2018,914,0.118161926
Bryant Park,18-06-2018,744,0.108870968
Bryant Park,19-06-2018,839,0.122765197
Bryant Park,20-06-2018,822,0.102189781
Bryant Park,21-06-2018,827,0.105199516
Bryant Park,22-06-2018,882,0.078231293
Bryant Park,25-06-2018,884,0.125565611
Bryant Park,26-06-2018,904,0.107300885
Bryant Park,27-06-2018,925,0.097297297
Bryant Park,28-06-2018,848,0.114386792
Bryant Park,29-06-2018,806,0.11662531
Bryant Park,02-07-2018,791,0.115044248
Bryant Park,03-07-2018,822,0.109489051
Bryant Park,04-07-2018,440,0.088636364
Bryant Park,05-07-2018,778,0.107969152
Bryant Park,06-07-2018,842,0.100950119
Bryant Park,09-07-2018,800,0.10375
Bryant Park,10-07-2018,791,0.130214918
Bryant Park,11-07-2018,834,0.104316547
Bryant Park,12-07-2018,861,0.096399535
Bryant Park,13-07-2018,865,0.120231214
Bryant Park,16-07-2018,780,0.102564103
Bryant Park,17-07-2018,877,0.116305587
Bryant Park,18-07-2018,831,0.104693141
Bryant Park,19-07-2018,844,0.110189573
Bryant Park,20-07-2018,824,0.104368932
Bryant Park,23-07-2018,802,0.094763092
Bryant Park,24-07-2018,825,0.096969697
Bryant Park,25-07-2018,851,0.115158637
Bryant Park,26-07-2018,836,0.094497608
Bryant Park,27-07-2018,872,0.114678899
Bryant Park,30-07-2018,871,0.106773823
Bryant Park,31-07-2018,799,0.095118899
Bryant Park,01-08-2018,756,0.103174603
Bryant Park,02-08-2018,811,0.10974106
Bryant Park,03-08-2018,805,0.10310559
Bryant Park,06-08-2018,765,0.103267974
Bryant Park,07-08-2018,780,0.094871795
Bryant Park,08-08-2018,846,0.11465721
Bryant Park,09-08-2018,753,0.103585657
Bryant Park,10-08-2018,808,0.112623762
Bryant Park,13-08-2018,873,0.099656357
Bryant Park,14-08-2018,864,0.128472222
Bryant Park,15-08-2018,772,0.116580311
Bryant Park,16-08-2018,788,0.096446701
Bryant Park,17-08-2018,819,0.089133089
Bryant Park,20-08-2018,859,0.091967404
Bryant Park,21-08-2018,903,0.105204873
Bryant Park,22-08-2018,816,0.093137255
Bryant Park,23-08-2018,853,0.113716295
Bryant Park,24-08-2018,838,0.118138425
Bryant Park,27-08-2018,823,0.113001215
Bryant Park,28-08-2018,770,0.093506494
Bryant Park,29-08-2018,757,0.121532365
Bryant Park,30-08-2018,814,0.115479115
Bryant Park,31-08-2018,861,0.090592334
Bryant Park,03-09-2018,431,0.11136891
Bryant Park,04-09-2018,812,0.099753695
Bryant Park,05-09-2018,848,0.106132075
Bryant Park,06-09-2018,796,0.121859296
Bryant Park,07-09-2018,917,0.092693566
Bryant Park,10-09-2018,953,0.090241343
Bryant Park,11-09-2018,910,0.091208791
Bryant Park,12-09-2018,957,0.108672936
Bryant Park,13-09-2018,888,0.091216216
Bryant Park,14-09-2018,861,0.095238095
Bryant Park,17-09-2018,827,0.095525998
Bryant Park,18-09-2018,894,0.128635347
Bryant Park,19-09-2018,900,0.088888889
Bryant Park,20-09-2018,891,0.095398429
Bryant Park,21-09-2018,931,0.098818475
